title,id,file_description,unit,year,tag,file_key,file_size,file_checksum,file_link
EPA CAMPD (Clean Air Markets Program Data) emission data: Hourly emissions for 2017 by quarter,15052218,Hourly emissions for 2017 in Q4,hourly,2017,Q4,emissions-hourly-2017-q4.csv,2021666549,md5:8c9ecb015e2bf733a5d914e44d72af93,https://zenodo.org/api/records/15052218/files/emissions-hourly-2017-q4.csv/content
EPA CAMPD (Clean Air Markets Program Data) emission data: Hourly emissions for 2017 by quarter,15052218,Hourly emissions for 2017 in Q3,hourly,2017,Q3,emissions-hourly-2017-q3.csv,2213092805,md5:066af9ffa5151e5823656df62df7fa3e,https://zenodo.org/api/records/15052218/files/emissions-hourly-2017-q3.csv/content
EPA CAMPD (Clean Air Markets Program Data) emission data: Hourly emissions for 2017 by quarter,15052218,Hourly emissions for 2017 in Q2,hourly,2017,Q2,emissions-hourly-2017-q2.csv,2113317029,md5:ad59c9afd46420c5b74b9922ad3a287e,https://zenodo.org/api/records/15052218/files/emissions-hourly-2017-q2.csv/content
EPA CAMPD (Clean Air Markets Program Data) emission data: Hourly emissions for 2017 by quarter,15052218,Hourly emissions for 2017 in Q1,hourly,2017,Q1,emissions-hourly-2017-q1.csv,1969432650,md5:1c0d832d3acaaf42814d5a1d47ba2fd3,https://zenodo.org/api/records/15052218/files/emissions-hourly-2017-q1.csv/content
EPA CAMPD (Clean Air Markets Program Data) emission data: Daily emissions for 2015 by state,15047617,Daily emissions for 2015 in OK,daily,2015,OK,emissions-daily-2015-ok.csv,5523795,md5:9b8e319b3243772097a4e2c565fd6ebd,https://zenodo.org/api/records/15047617/files/emissions-daily-2015-ok.csv/content
EPA CAMPD (Clean Air Markets Program Data) emission data: Daily emissions for 2015 by state,15047617,Daily emissions for 2015 in SC,daily,2015,SC,emissions-daily-2015-sc.csv,5793500,md5:d7b8c3089b5683c2ab2c24c86b474254,https://zenodo.org/api/records/15047617/files/emissions-daily-2015-sc.csv/content
EPA CAMPD (Clean Air Markets Program Data) emission data: Daily emissions for 2015 by state,15047617,Daily emissions for 2015 in ID,daily,2015,ID,emissions-daily-2015-id.csv,505392,md5:4840119d94ade30821750b6e69415330,https://zenodo.org/api/records/15047617/files/emissions-daily-2015-id.csv/content
EPA CAMPD (Clean Air Markets Program Data) emission data: Daily emissions for 2015 by state,15047617,Daily emissions for 2015 in CO,daily,2015,CO,emissions-daily-2015-co.csv,5066674,md5:035d0a6b550e234a5ebecabbf243b734,https://zenodo.org/api/records/15047617/files/emissions-daily-2015-co.csv/content
EPA CAMPD (Clean Air Markets Program Data) emission data: Daily emissions for 2015 by state,15047617,Daily emissions for 2015 in SD,daily,2015,SD,emissions-daily-2015-sd.csv,688412,md5:a8c0c6bec75b15b2fc1facabdd7870a1,https://zenodo.org/api/records/15047617/files/emissions-daily-2015-sd.csv/content
EPA CAMPD (Clean Air Markets Program Data) emission data: Daily emissions for 2015 by state,15047617,Daily emissions for 2015 in OR,daily,2015,OR,emissions-daily-2015-or.csv,1006786,md5:390e4304d8cd9976ce8d462db643082b,https://zenodo.org/api/records/15047617/files/emissions-daily-2015-or.csv/content
EPA CAMPD (Clean Air Markets Program Data) emission data: Daily emissions for 2015 by state,15047617,Daily emissions for 2015 in NY,daily,2015,NY,emissions-daily-2015-ny.csv,19655297,md5:c1c09c9afd2f132c64761ce5df361a47,https://zenodo.org/api/records/15047617/files/emissions-daily-2015-ny.csv/content
EPA CAMPD (Clean Air Markets Program Data) emission data: Daily emissions for 2015 by state,15047617,Daily emissions for 2015 in MI,daily,2015,MI,emissions-daily-2015-mi.csv,10921871,md5:b90cbe7a72326e3f0d8dfb65eb161389,https://zenodo.org/api/records/15047617/files/emissions-daily-2015-mi.csv/content
EPA CAMPD (Clean Air Markets Program Data) emission data: Daily emissions for 2015 by state,15047617,Daily emissions for 2015 in ME,daily,2015,ME,emissions-daily-2015-me.csv,878113,md5:49e9212415a5ad43fabe031cde7bf167,https://zenodo.org/api/records/15047617/files/emissions-daily-2015-me.csv/content
EPA CAMPD (Clean Air Markets Program Data) emission data: Daily emissions for 2015 by state,15047617,Daily emissions for 2015 in AZ,daily,2015,AZ,emissions-daily-2015-az.csv,6388858,md5:02bebab10433c9705c1975dce46ed1ee,https://zenodo.org/api/records/15047617/files/emissions-daily-2015-az.csv/content
EPA CAMPD (Clean Air Markets Program Data) emission data: Daily emissions for 2015 by state,15047617,Daily emissions for 2015 in AL,daily,2015,AL,emissions-daily-2015-al.csv,8918602,md5:737d5608e9dfa554d2b79b0fa646a5df,https://zenodo.org/api/records/15047617/files/emissions-daily-2015-al.csv/content
EPA CAMPD (Clean Air Markets Program Data) emission data: Daily emissions for 2015 by state,15047617,Daily emissions for 2015 in WV,daily,2015,WV,emissions-daily-2015-wv.csv,4911722,md5:0c449da4299ea59ddfcdbfbeb2bb48ce,https://zenodo.org/api/records/15047617/files/emissions-daily-2015-wv.csv/content
EPA CAMPD (Clean Air Markets Program Data) emission data: Daily emissions for 2015 by state,15047617,Daily emissions for 2015 in WI,daily,2015,WI,emissions-daily-2015-wi.csv,8286017,md5:d12fe0e9b76de7a4e60379322502e3ac,https://zenodo.org/api/records/15047617/files/emissions-daily-2015-wi.csv/content
EPA CAMPD (Clean Air Markets Program Data) emission data: Daily emissions for 2015 by state,15047617,Daily emissions for 2015 in WA,daily,2015,WA,emissions-daily-2015-wa.csv,1309595,md5:a713960279db1f2dad3ab460b25ab3b5,https://zenodo.org/api/records/15047617/files/emissions-daily-2015-wa.csv/content
EPA CAMPD (Clean Air Markets Program Data) emission data: Daily emissions for 2015 by state,15047617,Daily emissions for 2015 in CA,daily,2015,CA,emissions-daily-2015-ca.csv,17164927,md5:4187404fd791e10cd83ff8bb4e0f47f4,https://zenodo.org/api/records/15047617/files/emissions-daily-2015-ca.csv/content
EPA CAMPD (Clean Air Markets Program Data) emission data: Daily emissions for 2015 by state,15047617,Daily emissions for 2015 in NJ,daily,2015,NJ,emissions-daily-2015-nj.csv,9723233,md5:9eb143588d335c7615a35dac7c516e0b,https://zenodo.org/api/records/15047617/files/emissions-daily-2015-nj.csv/content
EPA CAMPD (Clean Air Markets Program Data) emission data: Daily emissions for 2015 by state,15047617,Daily emissions for 2015 in MO,daily,2015,MO,emissions-daily-2015-mo.csv,8587087,md5:367e36acb062ea7f50d6cb69f8619d5a,https://zenodo.org/api/records/15047617/files/emissions-daily-2015-mo.csv/content
EPA CAMPD (Clean Air Markets Program Data) emission data: Daily emissions for 2015 by state,15047617,Daily emissions for 2015 in UT,daily,2015,UT,emissions-daily-2015-ut.csv,2118613,md5:596bebeeddeba12ebf77c96e7705d60b,https://zenodo.org/api/records/15047617/files/emissions-daily-2015-ut.csv/content
EPA CAMPD (Clean Air Markets Program Data) emission data: Daily emissions for 2015 by state,15047617,Daily emissions for 2015 in IA,daily,2015,IA,emissions-daily-2015-ia.csv,4327562,md5:7b6cfde385d2b68777290584b9957afc,https://zenodo.org/api/records/15047617/files/emissions-daily-2015-ia.csv/content
EPA CAMPD (Clean Air Markets Program Data) emission data: Daily emissions for 2015 by state,15047617,Daily emissions for 2015 in GA,daily,2015,GA,emissions-daily-2015-ga.csv,11597550,md5:2bfd25d3ddb70a8ad9b5a1d80d2cbfcc,https://zenodo.org/api/records/15047617/files/emissions-daily-2015-ga.csv/content
